booking_id,customer_id,city,unit_size,start_date,end_date,duration_months,monthly_price,total_revenue,channel,repeat_customer
65,4887,Turku,Small Locker,2024-11-03,2025-06-01,7,56.1,392.7,Walk-in,1
66,4565,Vantaa,Premium Climate,2024-06-15,2025-03-12,9,281.25,2531.25,Referral,1
67,9010,Tampere,10m² Unit,2024-06-03,2024-10-31,5,215.62,1078.1,Google Ads,0
68,4013,Tampere,Premium Climate,2026-02-19,2026-05-20,3,175.95,527.85,Google Ads,0
69,7739,Turku,Premium Climate,2025-10-29,2026-05-27,7,198.0,1386.0,Website,1
70,7663,Espoo,Premium Climate,2025-06-27,2026-02-22,8,303.75,2430.0,Referral,1
71,1597,Espoo,Premium Climate,2024-05-30,2025-03-26,10,303.75,3037.5,Website,1
72,5785,Turku,Small Locker,2025-06-29,2025-10-27,4,82.5,330.0,Referral,0
73,8410,Turku,Premium Climate,2025-04-24,2025-05-24,1,198.0,198.0,Website,0
74,2624,Turku,5m² Unit,2025-06-25,2026-03-22,9,137.5,1237.5,Walk-in,1
75,9932,Turku,Small Locker,2025-08-10,2026-06-06,10,82.5,825.0,Partner,0
76,5782,Turku,5m² Unit,2025-04-23,2025-12-19,8,110.0,880.0,Website,1
77,6486,Turku,10m² Unit,2024-09-27,2024-11-26,2,165.0,330.0,Referral,0
78,5658,Vantaa,Small Locker,2024-09-16,2025-07-13,10,75.0,750.0,Referral,0
79,8406,Vantaa,10m² Unit,2025-12-13,2026-02-11,2,159.38,318.76,Website,1
80,2946,Vantaa,10m² Unit,2025-03-26,2026-03-21,12,187.5,2250.0,Website,0
81,6780,Espoo,5m² Unit,2026-02-20,2026-06-20,4,114.75,459.0,Google Ads,0
82,6690,Vantaa,Small Locker,2024-07-22,2025-01-18,6,93.75,562.5,Google Ads,1
83,9200,Espoo,10m² Unit,2026-01-10,2026-12-06,11,172.12,1893.32,Website,0
84,1481,Helsinki,Premium Climate,2024-08-25,2024-11-23,3,337.5,1012.5,Walk-in,1
85,7328,Helsinki,Premium Climate,2024-09-28,2024-10-28,1,270.0,270.0,Walk-in,0
86,5691,Turku,Small Locker,2026-03-07,2026-11-02,8,66.0,528.0,Referral,0
87,5029,Vantaa,5m² Unit,2024-12-26,2025-12-21,12,106.25,1275.0,Google Ads,0
88,3718,Vantaa,Premium Climate,2024-12-05,2025-11-30,12,191.25,2295.0,Partner,1
89,1246,Helsinki,5m² Unit,2025-01-26,2025-02-25,1,127.5,127.5,Website,1
90,1348,Vantaa,10m² Unit,2025-04-02,2025-11-28,8,187.5,1500.0,Referral,1
91,1697,Tampere,10m² Unit,2025-12-06,2026-01-05,1,146.62,146.62,Partner,0
92,5015,Helsinki,Premium Climate,2025-04-09,2025-10-06,6,270.0,1620.0,Google Ads,1
93,6938,Tampere,Premium Climate,2026-03-29,2027-03-24,12,207.0,2484.0,Google Ads,1
94,4558,Turku,Premium Climate,2024-04-26,2024-10-23,6,198.0,1188.0,Google Ads,0
95,6649,Espoo,Premium Climate,2024-12-28,2025-07-26,7,206.55,1445.85,Walk-in,1
96,7664,Helsinki,5m² Unit,2025-01-07,2025-02-06,1,127.5,127.5,Website,0
97,5256,Helsinki,5m² Unit,2024-11-14,2025-10-10,11,127.5,1402.5,Referral,1
98,4480,Vantaa,Small Locker,2025-08-22,2026-08-17,12,93.75,1125.0,Partner,0
99,6564,Tampere,Small Locker,2025-07-15,2025-11-12,4,86.25,345.0,Walk-in,0
100,3037,Tampere,Small Locker,2026-03-04,2027-02-27,12,69.0,828.0,Referral,1
101,7200,Vantaa,5m² Unit,2024-09-06,2024-11-05,2,125.0,250.0,Partner,1
102,9252,Vantaa,5m² Unit,2024-11-01,2025-07-29,9,106.25,956.25,Referral,0
103,4038,Helsinki,10m² Unit,2025-02-15,2026-01-11,11,191.25,2103.75,Referral,0
104,4489,Helsinki,5m² Unit,2025-01-05,2025-04-05,3,127.5,382.5,Website,0
105,3568,Tampere,Premium Climate,2024-09-09,2025-07-06,10,207.0,2070.0,Walk-in,1
106,8680,Turku,5m² Unit,2025-12-26,2026-07-24,7,93.5,654.5,Referral,1
107,5214,Espoo,Premium Climate,2025-01-05,2025-11-01,10,206.55,2065.5,Google Ads,0
108,4539,Helsinki,Premium Climate,2025-05-08,2025-07-07,2,337.5,675.0,Walk-in,1
109,3509,Turku,10m² Unit,2026-04-22,2026-05-22,1,165.0,165.0,Walk-in,0
110,9304,Vantaa,10m² Unit,2025-10-19,2026-04-17,6,187.5,1125.0,Partner,1
111,1962,Vantaa,Premium Climate,2024-10-10,2025-04-08,6,225.0,1350.0,Walk-in,0
112,3899,Turku,Premium Climate,2025-05-29,2026-04-24,11,247.5,2722.5,Walk-in,0
113,5579,Turku,5m² Unit,2024-09-04,2025-04-02,7,110.0,770.0,Website,1
114,6998,Helsinki,Small Locker,2025-05-31,2025-10-28,5,112.5,562.5,Referral,0
115,2431,Helsinki,Small Locker,2024-10-18,2024-11-17,1,90.0,90.0,Referral,0
116,7216,Tampere,10m² Unit,2024-12-27,2025-06-25,6,146.62,879.72,Walk-in,0
117,8838,Turku,Small Locker,2025-08-02,2025-11-30,4,82.5,330.0,Website,1
118,4039,Helsinki,10m² Unit,2026-03-09,2026-11-04,8,225.0,1800.0,Walk-in,0
119,2089,Vantaa,5m² Unit,2025-03-29,2025-10-25,7,125.0,875.0,Google Ads,0
120,8848,Espoo,Premium Climate,2025-09-16,2026-03-15,6,243.0,1458.0,Website,0
121,4670,Helsinki,Small Locker,2026-03-12,2027-02-05,11,90.0,990.0,Referral,0
122,9483,Espoo,10m² Unit,2024-07-28,2025-03-25,8,253.12,2024.96,Google Ads,1
123,6090,Espoo,10m² Unit,2026-02-16,2026-05-17,3,172.12,516.36,Partner,1
124,8967,Tampere,5m² Unit,2024-08-15,2024-11-13,3,143.75,431.25,Google Ads,1
125,2017,Turku,Small Locker,2026-01-12,2026-06-11,5,56.1,280.5,Website,0
126,1908,Helsinki,10m² Unit,2025-12-17,2026-11-12,11,191.25,2103.75,Walk-in,1
127,7308,Vantaa,Small Locker,2024-08-19,2025-02-15,6,93.75,562.5,Google Ads,1
128,8633,Espoo,Small Locker,2025-09-26,2026-02-23,5,81.0,405.0,Website,1
129,4178,Helsinki,5m² Unit,2025-07-10,2026-07-05,12,187.5,2250.0,Referral,0
130,6523,Vantaa,Small Locker,2025-01-03,2025-06-02,5,63.75,318.75,Walk-in,1
131,2547,Helsinki,10m² Unit,2024-11-19,2025-10-15,11,191.25,2103.75,Referral,1
132,1657,Turku,Premium Climate,2025-04-10,2025-07-09,3,198.0,594.0,Walk-in,0
133,9061,Helsinki,Premium Climate,2025-05-13,2025-06-12,1,337.5,337.5,Walk-in,0
134,8797,Tampere,5m² Unit,2026-04-10,2026-11-06,7,115.0,805.0,Google Ads,1
135,1370,Helsinki,Premium Climate,2025-09-16,2026-02-13,5,270.0,1350.0,Referral,0
136,5653,Helsinki,Small Locker,2024-07-09,2024-11-06,4,112.5,450.0,Walk-in,0
137,7404,Vantaa,5m² Unit,2025-05-21,2025-06-20,1,156.25,156.25,Google Ads,1
138,2414,Tampere,Premium Climate,2024-11-13,2025-07-11,8,175.95,1407.6,Website,1
139,8967,Vantaa,10m² Unit,2026-02-14,2027-02-09,12,159.38,1912.56,Referral,1
140,2688,Vantaa,10m² Unit,2024-12-18,2025-10-14,10,159.38,1593.8,Partner,1
141,3097,Tampere,5m² Unit,2024-05-19,2024-07-18,2,143.75,287.5,Google Ads,1
142,2245,Tampere,10m² Unit,2024-12-31,2025-11-26,11,146.62,1612.82,Google Ads,1
143,2480,Turku,Premium Climate,2024-09-05,2025-03-04,6,198.0,1188.0,Google Ads,1
144,5028,Tampere,Premium Climate,2024-06-20,2025-02-15,8,258.75,2070.0,Partner,1
145,9040,Tampere,Premium Climate,2024-10-17,2025-03-16,5,207.0,1035.0,Website,1
146,6422,Helsinki,10m² Unit,2025-04-30,2026-04-25,12,225.0,2700.0,Google Ads,0
147,6189,Turku,5m² Unit,2024-09-23,2024-11-22,2,110.0,220.0,Referral,1
148,3320,Turku,Small Locker,2025-12-30,2026-06-28,6,56.1,336.6,Walk-in,0
149,6430,Turku,10m² Unit,2025-02-16,2025-08-15,6,140.25,841.5,Google Ads,1
150,2791,Tampere,Small Locker,2026-02-24,2026-04-25,2,58.65,117.3,Google Ads,0
151,8782,Espoo,10m² Unit,2026-04-18,2026-12-14,8,202.5,1620.0,Google Ads,1
152,8724,Tampere,10m² Unit,2026-03-08,2027-02-01,11,172.5,1897.5,Partner,1
153,8134,Espoo,Premium Climate,2025-02-25,2025-08-24,6,206.55,1239.3,Google Ads,0
154,4325,Tampere,5m² Unit,2025-06-12,2026-02-07,8,143.75,1150.0,Partner,1
155,7169,Vantaa,5m² Unit,2024-04-23,2024-12-19,8,125.0,1000.0,Website,1
156,4814,Tampere,10m² Unit,2024-11-24,2025-04-23,5,146.62,733.1,Website,1
157,2396,Tampere,5m² Unit,2025-02-19,2025-09-17,7,97.75,684.25,Partner,1
158,8450,Helsinki,10m² Unit,2024-11-24,2024-12-24,1,191.25,191.25,Google Ads,0
159,7319,Helsinki,5m² Unit,2025-03-23,2025-12-18,9,150.0,1350.0,Partner,0
160,4108,Espoo,Small Locker,2025-03-06,2025-04-05,1,81.0,81.0,Website,0
161,7180,Turku,Small Locker,2025-10-16,2026-02-13,4,66.0,264.0,Google Ads,1
162,7470,Vantaa,Premium Climate,2025-04-29,2026-02-23,10,225.0,2250.0,Partner,1
163,3931,Tampere,5m² Unit,2025-03-26,2026-01-20,10,115.0,1150.0,Walk-in,1
164,4060,Helsinki,Premium Climate,2026-04-04,2027-02-28,11,270.0,2970.0,Website,1
165,5677,Tampere,Small Locker,2026-01-12,2026-12-08,11,58.65,645.15,Walk-in,1
166,7470,Tampere,10m² Unit,2026-03-20,2026-04-19,1,172.5,172.5,Website,1
167,7816,Espoo,10m² Unit,2025-10-04,2026-07-31,10,202.5,2025.0,Google Ads,1
168,6004,Espoo,Small Locker,2025-10-16,2026-02-13,4,81.0,324.0,Referral,1
169,3553,Espoo,10m² Unit,2026-01-01,2026-05-31,5,172.12,860.6,Google Ads,1
170,8997,Tampere,10m² Unit,2025-01-06,2025-09-03,8,146.62,1172.96,Partner,1
171,5320,Vantaa,10m² Unit,2025-09-17,2026-06-14,9,187.5,1687.5,Referral,1
172,5489,Tampere,Premium Climate,2024-05-24,2025-05-19,12,258.75,3105.0,Partner,0
173,9177,Espoo,5m² Unit,2024-11-03,2025-03-03,4,114.75,459.0,Partner,1
174,3276,Turku,5m² Unit,2025-04-06,2025-10-03,6,110.0,660.0,Walk-in,0
175,7884,Tampere,10m² Unit,2025-06-30,2026-05-26,11,215.62,2371.82,Walk-in,1
176,2641,Tampere,5m² Unit,2024-10-24,2025-05-22,7,115.0,805.0,Referral,0
177,1291,Tampere,10m² Unit,2024-08-26,2024-11-24,3,215.62,646.86,Google Ads,0
178,8352,Tampere,10m² Unit,2024-09-18,2025-01-16,4,172.5,690.0,Partner,1
179,8379,Helsinki,Small Locker,2026-02-19,2026-12-16,10,76.5,765.0,Walk-in,1
180,2673,Helsinki,Small Locker,2025-07-20,2026-07-15,12,112.5,1350.0,Referral,0
181,2625,Espoo,Small Locker,2024-05-12,2024-07-11,2,101.25,202.5,Google Ads,1
182,8294,Vantaa,10m² Unit,2024-06-24,2024-08-23,2,234.38,468.76,Referral,1
183,5146,Espoo,Small Locker,2024-05-02,2024-09-29,5,101.25,506.25,Referral,0
184,1362,Vantaa,Small Locker,2026-01-25,2026-03-26,2,63.75,127.5,Referral,1
185,8124,Tampere,Small Locker,2025-10-10,2026-02-07,4,69.0,276.0,Google Ads,0
186,7336,Turku,Small Locker,2024-12-31,2025-03-01,2,56.1,112.2,Website,0
187,9302,Espoo,Small Locker,2024-09-06,2024-11-05,2,81.0,162.0,Website,0
188,8948,Turku,Small Locker,2024-09-08,2025-05-06,8,66.0,528.0,Website,0
189,2760,Vantaa,10m² Unit,2026-03-03,2026-12-28,10,187.5,1875.0,Walk-in,1
190,4160,Vantaa,10m² Unit,2025-09-04,2026-01-02,4,187.5,750.0,Google Ads,0
191,5335,Vantaa,Premium Climate,2025-03-11,2025-04-10,1,225.0,225.0,Referral,0
192,2248,Vantaa,Small Locker,2024-10-16,2025-06-13,8,75.0,600.0,Referral,1
193,4882,Turku,Premium Climate,2025-11-23,2026-10-19,11,168.3,1851.3,Google Ads,1
194,2574,Tampere,Small Locker,2026-01-02,2026-12-28,12,58.65,703.8,Referral,0
195,6980,Turku,Premium Climate,2026-02-15,2027-02-10,12,168.3,2019.6,Referral,0
196,5328,Tampere,10m² Unit,2025-01-30,2025-09-27,8,146.62,1172.96,Website,0
197,4338,Tampere,Premium Climate,2025-02-24,2025-10-22,8,175.95,1407.6,Referral,0
198,2475,Vantaa,5m² Unit,2024-06-18,2025-02-13,8,156.25,1250.0,Google Ads,0
199,1466,Helsinki,10m² Unit,2025-10-02,2025-11-01,1,225.0,225.0,Google Ads,1
200,6522,Espoo,10m² Unit,2026-01-01,2026-01-31,1,172.12,172.12,Google Ads,1
201,1505,Helsinki,Premium Climate,2024-05-15,2024-06-14,1,337.5,337.5,Website,0
202,2196,Tampere,Small Locker,2024-09-28,2025-08-24,11,69.0,759.0,Partner,0
203,5352,Turku,5m² Unit,2025-02-05,2026-01-01,11,93.5,1028.5,Website,1
204,6681,Tampere,Premium Climate,2026-01-07,2026-06-06,5,175.95,879.75,Website,0
205,4529,Turku,5m² Unit,2024-06-06,2024-12-03,6,137.5,825.0,Referral,1
206,1002,Helsinki,Premium Climate,2024-04-28,2024-06-27,2,270.0,540.0,Referral,1
207,3141,Vantaa,Small Locker,2024-09-28,2025-01-26,4,75.0,300.0,Partner,0
208,8175,Helsinki,Premium Climate,2025-02-23,2025-11-20,9,229.5,2065.5,Partner,0
209,1277,Helsinki,Small Locker,2024-07-30,2024-12-27,5,112.5,562.5,Referral,1
210,1357,Tampere,5m² Unit,2026-01-14,2026-09-11,8,97.75,782.0,Website,1
211,4628,Vantaa,10m² Unit,2024-07-07,2025-03-04,8,234.38,1875.04,Walk-in,0
212,4635,Helsinki,5m² Unit,2025-01-22,2025-05-22,4,127.5,510.0,Partner,1
213,5921,Vantaa,10m² Unit,2026-01-19,2027-01-14,12,159.38,1912.56,Referral,0
214,7803,Vantaa,Small Locker,2026-02-08,2026-04-09,2,63.75,127.5,Website,1
215,5689,Turku,Premium Climate,2025-08-15,2026-01-12,5,247.5,1237.5,Website,1
216,6651,Espoo,5m² Unit,2024-11-03,2025-08-30,10,114.75,1147.5,Google Ads,1
217,6475,Tampere,10m² Unit,2024-09-04,2025-02-01,5,172.5,862.5,Google Ads,1
218,7977,Helsinki,Small Locker,2025-10-13,2026-09-08,11,90.0,990.0,Walk-in,0
219,2329,Helsinki,Premium Climate,2026-01-25,2027-01-20,12,229.5,2754.0,Website,0
220,5444,Helsinki,10m² Unit,2024-08-16,2025-08-11,12,281.25,3375.0,Partner,0
221,6718,Espoo,Small Locker,2025-05-10,2025-07-09,2,101.25,202.5,Referral,1
222,5505,Helsinki,Small Locker,2025-10-10,2025-11-09,1,90.0,90.0,Partner,0
223,6894,Tampere,10m² Unit,2024-08-15,2025-08-10,12,215.62,2587.44,Referral,1
224,4040,Helsinki,10m² Unit,2025-07-11,2026-01-07,6,281.25,1687.5,Google Ads,1
225,8432,Vantaa,Small Locker,2024-08-07,2025-07-03,11,93.75,1031.25,Google Ads,0
226,7638,Tampere,Small Locker,2025-02-04,2026-01-30,12,58.65,703.8,Website,0
227,8539,Tampere,Premium Climate,2025-06-27,2025-11-24,5,258.75,1293.75,Google Ads,1
228,7304,Espoo,Small Locker,2024-05-28,2025-01-23,8,101.25,810.0,Website,0
229,4526,Tampere,Premium Climate,2025-09-10,2025-11-09,2,207.0,414.0,Partner,1
230,2805,Helsinki,10m² Unit,2024-07-26,2025-02-21,7,281.25,1968.75,Website,1
231,1725,Helsinki,5m² Unit,2026-03-29,2027-01-23,10,150.0,1500.0,Partner,1
232,8881,Helsinki,5m² Unit,2025-04-09,2026-02-03,10,150.0,1500.0,Partner,0
233,2397,Tampere,10m² Unit,2024-12-24,2025-07-22,7,146.62,1026.34,Referral,1
234,9420,Vantaa,5m² Unit,2025-09-17,2026-06-14,9,125.0,1125.0,Google Ads,1
235,6984,Helsinki,Small Locker,2024-08-05,2024-09-04,1,112.5,112.5,Website,1
236,1932,Turku,10m² Unit,2025-01-08,2025-10-05,9,140.25,1262.25,Walk-in,0
237,8245,Vantaa,Premium Climate,2026-03-26,2027-01-20,10,225.0,2250.0,Website,0
238,7004,Tampere,5m² Unit,2024-06-20,2025-05-16,11,143.75,1581.25,Google Ads,1
239,6575,Tampere,5m² Unit,2025-02-03,2025-09-01,7,97.75,684.25,Google Ads,1
240,1564,Espoo,Premium Climate,2024-10-04,2025-02-01,4,243.0,972.0,Partner,1
241,4120,Espoo,Small Locker,2024-12-04,2025-07-02,7,68.85,481.95,Website,0
242,5800,Turku,5m² Unit,2025-12-21,2026-10-17,10,93.5,935.0,Website,1
243,8117,Vantaa,10m² Unit,2026-01-05,2026-03-06,2,159.38,318.76,Google Ads,0
244,3405,Turku,10m² Unit,2026-01-23,2026-03-24,2,140.25,280.5,Walk-in,0
245,2059,Tampere,Small Locker,2024-06-20,2025-02-15,8,86.25,690.0,Google Ads,1
246,7949,Helsinki,5m² Unit,2024-08-10,2025-08-05,12,187.5,2250.0,Partner,1
247,2402,Helsinki,5m² Unit,2025-05-30,2025-10-27,5,187.5,937.5,Referral,1
248,8907,Espoo,5m² Unit,2026-04-09,2026-11-05,7,135.0,945.0,Website,1
249,3576,Helsinki,10m² Unit,2026-01-07,2026-09-04,8,191.25,1530.0,Website,1
250,7698,Tampere,Small Locker,2024-12-01,2025-08-28,9,58.65,527.85,Google Ads,1
251,4226,Turku,5m² Unit,2024-11-05,2025-01-04,2,93.5,187.0,Walk-in,1
252,8078,Tampere,Small Locker,2026-02-09,2027-02-04,12,58.65,703.8,Website,0
253,9942,Helsinki,Small Locker,2024-07-10,2025-01-06,6,112.5,675.0,Walk-in,0
254,2746,Turku,Premium Climate,2024-11-30,2025-09-26,10,168.3,1683.0,Partner,1
255,8112,Helsinki,5m² Unit,2025-02-12,2025-06-12,4,127.5,510.0,Referral,1
256,3825,Tampere,Premium Climate,2025-10-17,2026-05-15,7,207.0,1449.0,Partner,1
257,2918,Helsinki,Premium Climate,2024-09-17,2024-10-17,1,270.0,270.0,Partner,0
258,3320,Tampere,10m² Unit,2024-11-04,2025-10-30,12,146.62,1759.44,Partner,0
259,2209,Helsinki,5m² Unit,2024-09-08,2025-08-04,11,150.0,1650.0,Google Ads,0
260,1791,Turku,Small Locker,2025-07-31,2026-04-27,9,82.5,742.5,Google Ads,1
261,3230,Turku,5m² Unit,2025-02-26,2025-05-27,3,93.5,280.5,Referral,1
262,2517,Vantaa,10m² Unit,2025-06-17,2025-12-14,6,234.38,1406.28,Website,0
263,2772,Tampere,10m² Unit,2025-03-18,2025-10-14,7,172.5,1207.5,Partner,0
264,8023,Helsinki,Small Locker,2026-03-24,2026-12-19,9,90.0,810.0,Partner,0
265,1479,Turku,Premium Climate,2024-10-30,2025-08-26,10,198.0,1980.0,Referral,1
266,3588,Espoo,10m² Unit,2025-04-22,2026-01-17,9,202.5,1822.5,Website,0
267,1166,Espoo,5m² Unit,2024-06-02,2024-07-02,1,168.75,168.75,Google Ads,1
268,4452,Espoo,Small Locker,2024-08-27,2024-11-25,3,101.25,303.75,Walk-in,0
269,1119,Helsinki,Small Locker,2025-10-07,2025-12-06,2,90.0,180.0,Referral,1
270,9411,Tampere,Small Locker,2026-02-02,2027-01-28,12,58.65,703.8,Partner,0
271,7043,Tampere,Premium Climate,2024-08-15,2025-06-11,10,258.75,2587.5,Referral,0
272,2110,Turku,5m² Unit,2025-01-23,2026-01-18,12,93.5,1122.0,Walk-in,0
273,4590,Helsinki,10m² Unit,2025-05-27,2026-04-22,11,281.25,3093.75,Google Ads,0
274,9439,Helsinki,10m² Unit,2025-01-08,2025-02-07,1,191.25,191.25,Referral,1
275,8731,Helsinki,10m² Unit,2025-03-19,2026-02-12,11,225.0,2475.0,Google Ads,0
276,8592,Tampere,Premium Climate,2026-02-20,2026-10-18,8,175.95,1407.6,Referral,0
277,6622,Tampere,Premium Climate,2024-09-29,2025-04-27,7,207.0,1449.0,Google Ads,0
278,9475,Helsinki,Small Locker,2025-04-19,2026-03-15,11,90.0,990.0,Referral,1
279,4166,Tampere,Premium Climate,2025-05-23,2025-06-22,1,258.75,258.75,Referral,1
280,9242,Espoo,Small Locker,2026-02-20,2026-12-17,10,68.85,688.5,Google Ads,1
281,7604,Vantaa,Premium Climate,2025-12-01,2026-03-31,4,191.25,765.0,Website,1
282,3767,Turku,Small Locker,2025-06-18,2026-04-14,10,82.5,825.0,Google Ads,1
283,7820,Turku,Small Locker,2025-04-12,2025-07-11,3,66.0,198.0,Website,1
284,3456,Vantaa,5m² Unit,2025-10-17,2026-02-14,4,125.0,500.0,Website,0
285,2797,Espoo,10m² Unit,2024-11-13,2025-07-11,8,172.12,1376.96,Referral,1
286,8753,Vantaa,Small Locker,2025-11-28,2026-10-24,11,63.75,701.25,Website,1
287,8746,Turku,5m² Unit,2025-04-22,2025-05-22,1,110.0,110.0,Google Ads,0
288,7657,Espoo,Small Locker,2025-06-09,2026-03-06,9,101.25,911.25,Website,0
289,8146,Espoo,Small Locker,2025-04-26,2025-05-26,1,81.0,81.0,Walk-in,0
